,y_test,y_preds
2161,6,5.8478589790718445
4371,7,6.561509333175877
2890,5,6.098060848646895
1253,7,6.405263160499146
4375,6,6.153639631087415
3830,6,5.456772338145001
345,5,5.763625560350192
1650,5,6.14908934806428
3028,6,6.10014329946371
1624,5,5.6583104182487745
557,7,5.9125964696478945
1206,6,5.858815228177377
2900,5,5.006535179295668
2054,6,6.231127764424841
2796,7,6.414588103677232
4243,5,5.062711365755007
3059,7,6.376357868914198
2501,6,5.547485708918231
2308,6,6.470947494948106
3920,5,5.215102192599318
4288,5,5.399130542777698
3552,6,6.280176406816892
1783,5,5.01925291032282
268,5,5.360824617365239
3870,6,5.695425022170824
4497,5,5.218957957614478
1008,5,5.3621200491921
1406,5,5.112801440148218
1342,6,6.400348247596739
3052,8,6.676169818259623
2182,7,5.7973637779667655
3076,4,5.616107863778495
3207,6,5.339704388621783
1999,6,6.19033448705585
2586,5,4.91811076542551
2851,7,6.633631201588301
895,5,5.443403075259809
181,6,5.644310724836899
2726,6,5.345572259752046
3177,6,5.972567795971145
959,5,5.3981010431063225
313,7,6.289681252461918
501,6,6.002869097320641
443,6,5.7199513876396395
4033,6,5.0226384371493396
1751,4,5.720575499639551
12,5,5.533952456441142
965,5,5.106926046461481
3393,6,6.347939335036131
1542,5,5.605788139157198
1504,4,4.965157982194441
1993,5,5.736459240238645
4284,5,5.017203452730598
1399,7,6.322338822888241
3831,6,6.033667173299051
3485,5,6.10085011494931
495,6,4.665497855392033
4199,6,6.105818115622853
2204,5,5.261609368757092
2351,5,5.277690597541493
1660,6,6.029122787519896
870,6,5.802758899103267
2390,6,5.872270700593688
2313,7,5.939219760358043
3862,6,6.127025342759978
2334,6,5.743047030612161
1016,5,5.528772488938998
1916,6,5.713081941090195
3160,6,6.504180290326502
2298,6,5.576821903966604
749,6,5.339416981541248
1233,5,5.694910831658916
3152,5,5.393316147162167
4336,6,4.971761300133608
2165,6,5.854295339618417
632,6,6.067718840445977
577,5,5.966785918871068
1939,6,3.5833168650637788
4079,6,5.218880452216453
998,6,6.720387112393695
4008,5,5.076003026008351
4538,6,6.434788658966838
1249,6,6.1603853634442345
2209,5,6.001354761524041
3085,6,6.921625000804909
3961,5,5.5308524062918
4191,8,6.583807300406647
2506,6,5.273112121776677
1990,7,5.975803198063062
1620,6,6.512582058236774
4024,6,6.089753911970973
524,7,6.44084389625111
4092,5,4.8223292807810765
4392,6,6.443495770530333
1156,5,5.963047880121792
2179,6,5.1272334122025
3144,7,6.268620997934818
3307,6,6.160047509335982
1078,7,6.15306529311583
4285,8,6.173562816257871
1825,5,5.642425558685744
3932,5,5.446346966192408
4444,5,5.547502761567998
1903,5,5.2443062964601665
292,5,6.020835740998706
1723,6,5.601556635247675
561,5,5.1183329157309885
556,4,4.229140036673144
1919,7,6.343597497316253
3856,6,5.644045748889752
93,5,5.418830226527419
671,8,6.605588981269193
1885,6,5.530042638218802
661,8,6.773440264356097
4297,6,6.368032776089905
37,6,5.1778917371756705
2917,6,5.652836612820963
2800,5,5.290031067324264
2000,7,6.00584546530105
393,5,5.1893140552609935
4388,6,5.3664146799595045
2818,7,6.572219627672666
1404,6,5.996117561157774
3203,5,5.527114690168446
657,5,5.277793855487218
3319,4,4.897409364340703
2708,5,5.30794470977429
854,5,5.111145722434173
1424,8,5.637737846384681
187,6,6.519075212342571
4326,6,6.365563529836706
2048,6,6.188434174863957
1794,6,5.537755605604559
389,5,5.614053695860235
3492,7,5.779240744657642
4187,6,5.659861293969541
4095,6,5.946606443157805
3147,6,5.771994769973233
256,6,6.390062017815566
2637,6,5.162967748756628
2874,6,6.5160378794704314
6,6,5.033571103104677
1720,7,6.193434105487626
1736,7,6.510560593143239
3330,5,5.78133159512781
3397,5,5.297395406160135
4110,7,6.773570164730259
79,6,5.353779019257786
224,6,6.147293936629666
1238,5,5.687614178936144
613,7,6.3008471168914895
1559,5,5.5493072571252355
203,5,5.565211843685503
2338,7,6.581476748798991
4256,4,5.720281605574627
4489,5,4.79764225056401
2015,5,5.701327381703095
19,6,5.875176923900526
3855,6,5.795536043071806
4054,8,6.229953310630577
1344,6,6.1052274850392365
3363,6,6.328030136720059
1684,6,6.98257201722177
3860,5,5.445242742517209
1291,8,6.383302686239787
4275,4,5.323773484356124
3262,6,6.169047322971807
2611,7,5.847711359729914
314,5,4.867446103175666
3635,6,6.0685983305194355
3298,6,5.859703882042908
2354,7,6.876837133521576
3607,7,6.0351969791565665
2833,5,5.428294568017009
1513,6,6.275651072105703
2653,5,5.5820503729108
4460,6,5.597694304471929
2146,6,6.081326351191223
2124,6,6.587972591085801
2217,5,5.81627046919148
3065,7,5.938604735528983
3164,6,5.726994388819293
2601,6,6.445677125727187
3763,6,6.000006728549494
464,7,6.488718903539436
893,5,5.210666122588393
2740,3,4.635620997212968
1626,6,5.463604902566459
794,4,5.653847407753702
3116,6,5.588156459473623
1334,5,5.246223454030371
231,4,5.311740784134884
2150,5,5.18495341248412
2776,6,5.742558272636927
3535,5,5.369913243836493
3990,6,6.219098773753558
2805,6,5.783971378881233
1546,5,5.5308524062918
119,5,5.011995072187844
3460,4,4.838017439554278
1050,6,6.147106399262441
3868,6,6.042687808489902
1765,7,6.327649088527195
799,6,5.710704478164558
906,5,5.284122718442362
1608,6,5.301472429087966
3938,5,6.275727226843614
2279,4,4.958353476543849
3947,7,6.143406988374437
791,6,5.801015722808415
3329,6,6.130883078170754
3316,5,5.217187309297742
2656,6,6.071363977523504
3185,5,5.230068210188918
1248,6,5.914442374311477
773,7,6.439804432143518
325,7,6.746241740568976
4163,5,5.655063014217276
4245,4,5.591169462689933
3563,4,5.45802091628218
3376,5,6.113813904980475
2682,6,6.084276564951438
201,6,5.683182617873868
943,6,5.90086292604343
1941,6,6.499354375698033
2115,6,6.031859930967954
342,6,5.988994047850099
2781,6,6.395006131633465
4254,6,5.367027559705349
416,4,5.755639287094169
4019,5,5.818436347270946
4418,4,5.418811119850417
796,6,6.098568270989205
2448,6,6.311742370595454
3809,5,5.768174527041111
2113,5,5.215102192599318
3004,5,6.386727808257987
2347,6,5.786351190369459
3189,6,6.179757575417298
3499,6,5.4433209609975535
338,6,5.7458627483047024
2197,7,5.621150603038203
2534,6,5.465649202603416
719,6,6.089408699059504
1672,5,5.559289069213094
3768,6,6.312949260226844
3624,5,5.60681938350676
2721,5,5.024427940481104
3865,5,5.531577319166672
2927,6,5.674182833973049
2445,7,6.387909452523502
3735,5,5.142196730777286
1414,6,6.20267781542897
605,6,5.649497085247461
1140,5,5.336394255561217
1523,6,6.208532859482077
4023,5,5.675732615221847
2700,6,5.733292447704272
302,6,6.369799002961642
2301,6,5.569172335953908
2349,7,6.357573421615896
1929,6,5.429672032778285
1533,6,5.347455259282583
2190,5,5.499586150113302
4038,6,5.596436927992713
362,6,6.321268486855828
2253,7,6.04438562016864
1185,6,6.618573461475378
1049,5,5.439661621286135
3880,6,6.640617289143577
1508,5,5.284746588186309
857,5,5.350769019183346
517,5,5.435176345863255
4232,5,5.397129185633787
481,5,5.709529886739631
1937,6,5.924034085743131
3966,6,5.42428558999454
2361,5,5.435313520817843
710,6,5.736094025102389
4469,6,5.5517717787131176
440,5,5.5820503729108
2079,6,6.2315105376740405
1578,7,6.837576570839644
2242,6,6.6553961787943905
3044,5,5.3981010431063225
1673,6,5.995797643869068
3977,5,5.29205561571635
709,6,5.671910444743787
3432,5,5.656789832103087
3514,6,5.873758312774996
3939,5,5.122417798132432
2936,5,6.153860094316272
169,6,6.470608759933498
1169,6,5.300478957437036
813,7,6.423672617945968
1752,6,5.964106482245782
2027,6,5.102733453076951
2078,5,5.314387392545299
3309,6,5.80503780447215
3639,7,6.780702006042219
1020,5,5.95891491637795
490,6,5.646242064665685
3295,6,6.135448420276759
2982,7,6.055953398820094
4116,6,5.969445537196165
757,6,5.412140111976498
3025,7,6.129196927113966
2458,5,5.4342462260652695
351,6,5.732747149302028
186,6,5.675665644617993
2473,4,5.273622924065151
194,6,5.818928079798553
2097,5,6.324798573129129
2972,6,5.611707029221179
2181,6,5.473245221515441
1247,4,5.597766202196254
399,5,4.949271283409061
1740,5,5.569144225604433
165,7,6.088405537897259
1772,3,4.965355597216288
1011,5,5.458295615828874
3468,6,6.388067590236673
3195,6,5.857822773443644
1030,5,5.210666122588393
2961,6,5.678956647485478
4117,7,6.193000433496152
2159,6,6.328534994374209
1586,5,5.568988566369413
1448,5,4.939926125476418
1528,7,6.322443464817823
421,5,5.333394561257094
3764,5,5.674215770569361
2573,5,5.260253328487124
1105,5,5.486555248571634
4452,6,6.1719814735812975
963,5,5.649454376377378
1419,7,6.331323141766248
2852,7,6.153607501860748
3279,6,5.909458405229486
2515,5,5.001097097066406
3283,6,5.598653937999302
2861,5,5.512873767473508
880,6,5.784189366669935
487,5,5.261057622055347
2730,7,6.472387104574395
1216,5,5.509709536500466
435,5,5.4756575226860065
3469,6,5.217127427707055
255,6,5.397153412326318
2174,5,5.2338811005113115
1264,7,6.549988341943404
788,5,6.223574325048759
901,5,5.333394561257094
1064,6,5.303548582189222
2785,5,5.133116744292678
3081,6,6.2152603406414215
1375,7,6.342646067147697
1459,7,6.447817185934355
829,6,5.85169664570607
3480,7,5.920245738939201
456,5,6.29199657063532
2453,4,6.027853567147119
2889,5,5.108154448782329
2490,5,4.913501059866235
1012,6,5.934467446495589
574,6,5.910551955126323
587,6,5.888090972513581
3447,6,5.534378151614604
2600,5,5.6748571882319965
1080,5,5.32205761191554
874,7,6.76979991383476
2320,6,5.516232851033166
3668,6,5.304027332187758
909,6,6.246575554643854
1213,5,6.040503001841103
398,5,5.136982784599354
4122,5,5.6209718392259305
3000,5,5.8598449167077575
3017,6,6.157992144797177
4251,6,5.825579589597169
3429,5,5.736459240238645
3475,6,6.172678582423686
3244,6,5.977495874848088
3711,6,5.786909901109112
4510,6,5.5901161957087595
177,5,5.581923764594521
4419,5,5.476796241326994
3464,7,6.792724989124451
4011,6,6.476291443846534
525,7,5.559136657137046
3738,6,6.377936993655993
2754,5,5.542196014708708
321,6,5.812093842532946
664,5,5.649359029916013
3074,5,5.651228166992183
4446,6,5.732364267983073
332,6,5.554934151155379
2556,6,5.956618509332046
3778,5,5.58805193391666
598,5,5.860435690651386
386,6,5.795930633943385
1745,8,6.840559458604332
1884,6,6.297443713130818
2680,5,5.1842844080360635
1230,7,6.410236278691627
1670,6,6.18479856148565
1028,7,6.52153136489369
4149,5,5.889311438226471
498,6,6.711831435865108
1122,5,5.593366941254089
902,5,5.2467497590004655
701,6,6.549549981558769
2011,5,5.657540132534436
2226,5,5.192393089556219
4302,5,5.008838197609435
1685,5,5.507962610709811
1351,6,6.195450587605791
2525,6,6.014381361028484
1126,5,5.870373622618601
3239,5,4.824652996294702
2299,8,6.634249470466415
2106,5,5.586526182814282
2945,6,6.1925087588652445
3134,6,5.62750400787526
1403,6,6.576868485997707
1918,5,5.400141887739068
4321,8,6.1837097663569836
3315,6,5.762226876747306
2978,5,5.336515251996502
1848,5,5.4251931816069145
4086,5,5.590974919556075
3566,5,5.034258698267948
1827,5,4.957191807181516
367,5,6.185316875363796
2814,6,5.24905835663121
3033,6,5.808189151485294
2738,7,6.166226387308129
